match_id,season,round,match_date,venue,home_team,away_team,home_score,away_score,crowd,margin,result,home_win
20070812_NorthMelbourneKangaroos,2007,19,2007-08-12,Marvel Stadium,North Melbourne Kangaroos,West Coast Eagles,102,119,26113.0,-17,A,0.0
20070812_GeelongCats,2007,19,2007-08-12,GMHBA Stadium,Geelong Cats,Adelaide Crows,103,70,21267.0,33,H,1.0
20070812_FremantleDockers,2007,19,2007-08-12,Domain Stadium,Fremantle Dockers,Essendon Bombers,140,77,38274.0,63,H,1.0
20070817_CollingwoodMagpies,2007,20,2007-08-17,Melbourne Cricket Ground,Collingwood Magpies,Melbourne Demons,81,70,46277.0,11,H,1.0
20070818_WestCoastEagles,2007,20,2007-08-18,Domain Stadium,West Coast Eagles,Richmond Tigers,117,86,39752.0,31,H,1.0
20070818_EssendonBombers,2007,20,2007-08-18,Melbourne Cricket Ground,Essendon Bombers,Carlton Blues,118,108,48638.0,10,H,1.0
20070818_StKildaSaints,2007,20,2007-08-18,Marvel Stadium,St Kilda Saints,Fremantle Dockers,126,96,24041.0,30,H,1.0
20070818_BrisbaneLions,2007,20,2007-08-18,The Gabba,Brisbane Lions,Sydney Swans,63,63,33077.0,0,D,
20070819_NorthMelbourneKangaroos,2007,20,2007-08-19,Marvel Stadium,North Melbourne Kangaroos,Geelong Cats,91,118,48501.0,-27,A,0.0
20070819_HawthornHawks,2007,20,2007-08-19,UTAS Stadium,Hawthorn Hawks,Port Adelaide Power,82,87,15264.0,-5,A,0.0
20070819_AdelaideCrows,2007,20,2007-08-19,AAMI Stadium,Adelaide Crows,Western Bulldogs,107,73,41437.0,34,H,1.0
20070824_StKildaSaints,2007,21,2007-08-24,Marvel Stadium,St Kilda Saints,West Coast Eagles,98,106,38183.0,-8,A,0.0
20070825_CollingwoodMagpies,2007,21,2007-08-25,Melbourne Cricket Ground,Collingwood Magpies,Sydney Swans,101,76,63842.0,25,H,1.0
20070825_FremantleDockers,2007,21,2007-08-25,Domain Stadium,Fremantle Dockers,Melbourne Demons,144,85,34549.0,59,H,1.0
20070825_AdelaideCrows,2007,21,2007-08-25,AAMI Stadium,Adelaide Crows,Brisbane Lions,86,60,46507.0,26,H,1.0
20070825_CarltonBlues,2007,21,2007-08-25,Marvel Stadium,Carlton Blues,North Melbourne Kangaroos,79,161,29334.0,-82,A,0.0
20070826_GeelongCats,2007,21,2007-08-26,GMHBA Stadium,Geelong Cats,Port Adelaide Power,101,106,24331.0,-5,A,0.0
20070826_EssendonBombers,2007,21,2007-08-26,Melbourne Cricket Ground,Essendon Bombers,Richmond Tigers,92,119,88468.0,-27,A,0.0
20070826_WesternBulldogs,2007,21,2007-08-26,Marvel Stadium,Western Bulldogs,Hawthorn Hawks,67,151,32734.0,-84,A,0.0
20070831_CollingwoodMagpies,2007,22,2007-08-31,Marvel Stadium,Collingwood Magpies,Adelaide Crows,75,94,47915.0,-19,A,0.0
20070901_WestCoastEagles,2007,22,2007-09-01,Domain Stadium,West Coast Eagles,Essendon Bombers,132,124,42761.0,8,H,1.0
20070901_RichmondTigers,2007,22,2007-09-01,Melbourne Cricket Ground,Richmond Tigers,St Kilda Saints,92,102,42472.0,-10,A,0.0
20070901_BrisbaneLions,2007,22,2007-09-01,The Gabba,Brisbane Lions,Geelong Cats,103,145,34107.0,-42,A,0.0
20070901_PortAdelaidePower,2007,22,2007-09-01,AAMI Stadium,Port Adelaide Power,Fremantle Dockers,117,85,39270.0,32,H,1.0
20070902_WesternBulldogs,2007,22,2007-09-02,Marvel Stadium,Western Bulldogs,North Melbourne Kangaroos,93,157,29261.0,-64,A,0.0
20070902_SydneySwans,2007,22,2007-09-02,Sydney Cricket Ground,Sydney Swans,Hawthorn Hawks,141,69,27498.0,72,H,1.0
20070902_MelbourneDemons,2007,22,2007-09-02,Melbourne Cricket Ground,Melbourne Demons,Carlton Blues,139,108,26156.0,31,H,1.0
20070907_PortAdelaidePower,2007,QF,2007-09-07,AAMI Stadium,Port Adelaide Power,West Coast Eagles,68,65,37750.0,3,H,1.0
20070908_HawthornHawks,2007,EF,2007-09-08,Marvel Stadium,Hawthorn Hawks,Adelaide Crows,105,102,36534.0,3,H,1.0
20070908_CollingwoodMagpies,2007,EF,2007-09-08,Melbourne Cricket Ground,Collingwood Magpies,Sydney Swans,125,87,64645.0,38,H,1.0
20070909_GeelongCats,2007,QF,2007-09-09,Melbourne Cricket Ground,Geelong Cats,North Melbourne Kangaroos,156,50,77630.0,106,H,1.0
20070914_WestCoastEagles,2007,SF,2007-09-14,Domain Stadium,West Coast Eagles,Collingwood Magpies,93,74,43627.0,19,H,1.0
20070915_NorthMelbourneKangaroos,2007,SF,2007-09-15,Melbourne Cricket Ground,North Melbourne Kangaroos,Hawthorn Hawks,93,60,74981.0,33,H,1.0
20070921_GeelongCats,2007,PF,2007-09-21,Melbourne Cricket Ground,Geelong Cats,Collingwood Magpies,92,87,98002.0,5,H,1.0
20070922_PortAdelaidePower,2007,PF,2007-09-22,AAMI Stadium,Port Adelaide Power,North Melbourne Kangaroos,133,46,44953.0,87,H,1.0
20070929_GeelongCats,2007,GF,2007-09-29,Melbourne Cricket Ground,Geelong Cats,Port Adelaide Power,163,44,97302.0,119,H,1.0
20080320_PortAdelaidePower,2008,1,2008-03-20,AAMI Stadium,Port Adelaide Power,Geelong Cats,96,105,28206.0,-9,A,0.0
