id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
14126,richmond tigers,1,1990-03-31,1990,A,brisbane bears,2.4 6.9 7.12 10.14,74,4.3 7.5 13.14 19.19,133,L,-59,People First Stadium,11814.0,10,14,19,19
14139,richmond tigers,14,1990-07-06,1990,H,brisbane bears,8.6 11.11 15.16 22.21,153,2.0 4.1 9.4 10.11,71,W,82,Melbourne Cricket Ground,11438.0,22,21,10,11
14156,richmond tigers,10,1991-05-26,1991,A,brisbane bears,2.3 6.8 11.9 12.10,82,6.4 8.7 8.11 10.15,75,W,7,People First Stadium,7330.0,12,10,10,15
14179,richmond tigers,11,1992-05-30,1992,H,brisbane bears,5.2 11.4 14.6 22.10,142,1.4 1.11 5.16 11.17,83,W,59,Melbourne Cricket Ground,13174.0,22,10,11,17
14193,richmond tigers,2,1993-04-02,1993,H,brisbane bears,5.3 9.8 14.15 18.18,126,5.4 6.7 7.8 11.14,80,W,46,Melbourne Cricket Ground,14497.0,18,18,11,14
14206,richmond tigers,17,1993-07-25,1993,A,brisbane bears,6.5 9.7 10.13 14.15,99,4.2 11.3 13.4 18.10,118,L,-19,The Gabba,8797.0,14,15,18,10
13666,melbourne demons,14,1989-07-09,1989,A,brisbane bears,5.4 11.7 14.7 17.11,113,2.3 4.6 8.12 14.15,99,W,14,People First Stadium,8799.0,17,11,14,15
14226,richmond tigers,17,1994-07-17,1994,A,brisbane bears,5.4 6.7 12.7 15.8,98,2.4 5.8 8.10 12.12,84,W,14,The Gabba,14936.0,15,8,12,12
14238,richmond tigers,5,1995-04-29,1995,H,brisbane bears,3.5 7.8 13.12 17.14,116,4.4 7.6 11.7 14.12,96,W,20,Melbourne Cricket Ground,24379.0,17,14,14,12
14253,richmond tigers,20,1995-08-20,1995,A,brisbane bears,4.0 8.2 13.3 13.5,83,6.3 13.8 18.11 24.16,160,L,-77,The Gabba,11524.0,13,5,24,16
14261,richmond tigers,3,1996-04-13,1996,A,brisbane bears,3.4 8.8 11.15 15.18,108,3.4 3.8 8.9 13.12,90,W,18,The Gabba,20635.0,15,18,13,12
14276,richmond tigers,18,1996-08-04,1996,A,brisbane bears,0.1 0.3 4.6 7.11,53,4.6 4.9 6.15 9.16,70,L,-17,Princes Park,17157.0,7,11,9,16
14437,st kilda saints,3,1987-04-11,1987,H,brisbane bears,4.3 8.5 15.6 21.7,133,1.2 3.8 7.10 11.17,83,W,50,People First Stadium,12717.0,21,7,11,17
14450,st kilda saints,16,1987-07-12,1987,A,brisbane bears,5.1 11.4 14.11 18.13,121,5.3 8.5 10.8 14.9,93,W,28,People First Stadium,9106.0,18,13,14,9
14461,st kilda saints,5,1988-04-30,1988,H,brisbane bears,5.5 8.6 9.10 12.12,84,1.1 6.10 8.14 13.15,93,L,-9,People First Stadium,15260.0,12,12,13,15
14470,st kilda saints,14,1988-07-03,1988,A,brisbane bears,2.4 5.8 6.11 12.17,89,3.5 7.12 12.14 14.15,99,L,-10,People First Stadium,10394.0,12,17,14,15
14479,st kilda saints,1,1989-04-01,1989,H,brisbane bears,2.6 7.9 14.12 20.16,136,3.1 11.4 11.6 15.7,97,W,39,People First Stadium,17236.0,20,16,15,7
14494,st kilda saints,16,1989-07-22,1989,A,brisbane bears,2.7 7.8 8.14 12.18,90,3.1 7.4 13.8 14.10,94,L,-4,People First Stadium,11004.0,12,18,14,10
14543,st kilda saints,23,1991-08-24,1991,H,brisbane bears,5.0 10.4 19.7 27.12,174,3.2 5.6 5.10 7.12,54,W,120,Moorabbin Oval,16364.0,27,12,7,12
13432,north melbourne kangaroos,19,1996-08-11,1996,A,brisbane bears,2.4 3.5 6.8 8.11,59,2.2 5.5 7.7 11.11,77,L,-18,"Princes Park
",15453.0,8,11,11,11
13619,melbourne demons,18,1987-08-01,1987,H,brisbane bears,4.7 9.13 14.19 22.21,153,4.5 8.6 10.11 14.15,99,W,54,"Melbourne Cricket Ground
",10307.0,22,21,14,15
14529,st kilda saints,8,1991-05-12,1991,A,brisbane bears,4.5 12.11 15.17 21.22,148,3.3 5.4 10.4 12.7,79,W,69,"The Gabba
",9828.0,21,22,12,7
14554,st kilda saints,10,1992-05-23,1992,H,brisbane bears,6.2 14.5 20.8 25.18,168,1.2 2.2 6.5 9.6,60,W,108,Moorabbin Oval,18360.0,25,18,9,6
14606,st kilda saints,19,1994-07-30,1994,H,brisbane bears,3.1 4.5 5.9 5.15,45,0.5 1.5 8.7 8.7,55,L,-10,Waverley Park,12927.0,5,15,8,7
14646,st kilda saints,13,1996-06-29,1996,H,brisbane bears,3.4 7.6 12.7 14.12,96,2.1 4.2 7.7 7.8,50,W,46,Waverley Park,13824.0,14,12,7,8
14827,sydney swans,11,1987-06-07,1987,A,brisbane bears,6.5 8.10 12.15 19.23,137,3.3 6.3 7.9 9.10,64,W,73,People First Stadium,12036.0,19,23,9,10
14848,sydney swans,8,1988-05-20,1988,H,brisbane bears,1.4 4.7 7.15 11.21,87,5.2 10.2 14.7 17.13,115,L,-28,Sydney Cricket Ground,13322.0,11,21,17,13
14862,sydney swans,22,1988-08-28,1988,A,brisbane bears,3.3 6.7 8.15 10.21,81,3.4 8.6 11.7 11.11,77,W,4,People First Stadium,12718.0,10,21,11,11
14864,sydney swans,2,1989-04-09,1989,A,brisbane bears,2.4 4.8 5.11 8.17,65,4.5 7.11 12.12 18.15,123,L,-58,People First Stadium,11405.0,8,17,18,15
